Restrição de Atendimento;Escola;Código INEP;UF;Município;Localização;Localidade Diferenciada;Categoria Administrativa;Endereço;Telefone;Dependência Administrativa;Categoria Escola Privada;Conveniada Poder Público;Regulamentação pelo Conselho de Educação;Porte da Escola;Etapas e Modalidade de Ensino Oferecidas;Outras Ofertas Educacionais;Latitude;Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;MEIMEI CECOI;35065250;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA FRANCA, 145 RUA. BOSQUE DOS EUCALIPTOS. 12233-520 São José dos Campos - SP.";(12) 39362393;Privada;Filantrópica;Sim;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-23.2545225;-45.8903941
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;LIRIOS DO CAMPO IV JARDIM SOUTO CECOI;35065304;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"AVIAO TANGARA, 220 RUA. JARDIM SOUTO. 12227-160 São José dos Campos - SP.";(12) 39118152;Privada;Comunitária;Sim;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-23.20026;-45.86007
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;VICENTE SIMIAO LUZ NEI;35066412;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"NATALIO ANGELO STABELI, 20 RUA. JARDIM SAO LEOPOLDO. 12228-191 São José dos Campos - SP.";(12) 39441481;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-23.2439629;-45.8253261
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;VERA BABO DE OLIVEIRA PROFA EMEF;35069048;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"ALTO DO RIO DOCE, 801 AVENIDA. JARDIM ALTOS DE SANTANA. 12214-010 São José dos Campos - SP.";(12) 39215748;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental;"Atendimento Educacional Especializado, Atividade Complementar";-23.1688832;-45.9126201
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;LEONOR PEREIRA NUNES GALVAO PROFA EMEF;35069085;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"JOSE MOLINA, 150 RUA. VILA INDUSTRIAL. 12220-300 São José dos Campos - SP.";(12) 39291714;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental;"Atendimento Educacional Especializado, Atividade Complementar";-23.1799848;-45.8589393
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;POSSIDONIO JOSE DE FREITAS EMEF;35069097;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"FELICIO JABBUR NASSER, 935 RUA. CONJUNTO RESIDENCIAL GALO BRANCO. 12247-530 São José dos Campos - SP.";(12) 39051911;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental;"Atendimento Educacional Especializado, Atividade Complementar";-23.1362883;-45.7748366
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;THEREZINHA DO MENINO JESUS SOARES DO NASCIMENTO PROFA EMEF;35070476;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"FRANCISCO CARLOS BARBOSA, 200 RUA. CONJUNTO RESIDENCIAL DOM PEDRO I. 12232-841 São José dos Campos - SP.";(12) 39661582;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental;"Atendimento Educacional Especializado, Atividade Complementar";-23.2819397;-45.8915328
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;MARIA AMELIA WAKAMATSU PROFA EMEF;35074925;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"VIRGILIO FERNANDES DE OLIVEIRA, 31 RUA. CAMPOS DE SAO JOSE. 12226-690 São José dos Campos - SP.";(12) 39297535;Municipal;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;Ensino Fundamental;Atividade Complementar;-23.2100294;-45.8100383
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;POUSADA DO VALE IMI;35074937;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"CEREJEIRA, SN RUA. CHACARAS POUSADA DO VALE. 12226-740 São José dos Campos - SP.";(12) 39293168;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-23.2170031;-45.7940253
ESCOLA PARALISADA;VILA SANTA CRUZ II NUCLEO DE EDUCACAO INFANTIL DA;35074949;SP;São José dos Campos;Urbana;Não Informado;Pública;"AVENIDA SENADOR TEOTONIO VILELA, VILA MARIA. 12209-510 São José dos Campos - SP.";(12) 39225253;Municipal;Não Informado;Não;;;;;;
ESCOLA PARALISADA;CAMPOS DE SAO JOSE NUCLEO DE EDUCACAO INFANTIL;35074950;SP;São José dos Campos;Urbana;Não Informado;Pública;"RUA LUCI PERDIGAO, CAMPOS DE SAO JOSE. 12226-570 São José dos Campos - SP.";(12) 39292322;Municipal;Não Informado;Não;;;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;RIO COMPRIDO NEI;35078013;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA SAO FRANCISCO, 181 RUA. RIO COMPRIDO. 12224-730 São José dos Campos - SP.";(12) 39393224;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-23.2561972;-45.9414162
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;JOSE PAULINO BICUDO NEI;35078025;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"JAVAES, SN RUA. CONJUNTO RESIDENCIAL VALE DOS PINHEIROS. 12242-370 São José dos Campos - SP.";(12) 39415895;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-23.1952551;-45.9115019
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;MARIA JOSE GUIDO BROGLIATO FREIRE PROFA EMEI;35078037;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"BERTOLINO CLAUDIO, 56 PRACA. JARDIM COLONIAL. 12234-440 São José dos Campos - SP.";(12) 39662351;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-23.2810032;-45.8949783
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;MARIA APARECIDA SAVASTANO SANCHEZ PROFA NEI;35078049;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA TREZE DE MAIO, SN PRACA. CENTRO. 12249-000 São José dos Campos - SP.";(12) 39261665;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-22.9087909;-45.9617649
