Restrição de Atendimento;Escola;Código INEP;UF;Município;Localização;Localidade Diferenciada;Categoria Administrativa;Endereço;Telefone;Dependência Administrativa;Categoria Escola Privada;Conveniada Poder Público;Regulamentação pelo Conselho de Educação;Porte da Escola;Etapas e Modalidade de Ensino Oferecidas;Outras Ofertas Educacionais;Latitude;Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESPACO NATURAL BERCARIO E EDUCACAO INFANTIL;35179206;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"NASSAU, 146 RUA. VILA RUBI. 12245-591 São José dos Campos - SP.";(12) 39213625;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;Atividade Complementar;-23.203082;-45.892714
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;PROSSEGUIR COLEGIO;35179224;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"MARICA, 571 RUA. JARDIM SATELITE. 12230-100 São José dos Campos - SP.";(12) 39313822;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;Atividade Complementar;-23.2276454;-45.8822065
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CONSTRUIR CENTRO EDUCACIONAL;35179255;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"JOAO BATISTA SOARES DE QUEIROZ JUNIOR DOUTOR, 30 AVENIDA. JARDIM DAS INDUSTRIAS. 12240-000 São José dos Campos - SP.";(12) 39311647;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-23.23222684;-45.91453023
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;NOVA PAULISTA CENTRO EDUCACIONAL;35179322;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"LIVIO VENEZIANI, 151 AVENIDA. CHACARAS SAO JOSE. 12227-570 São José dos Campos - SP.";(12) 39239417;Privada;Particular;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-23.2097832;-45.8559134
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;AVANTI BERCARIO E EDUCACAO INFANTIL;35179346;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"FERNAO DIAS, 231 RUA. JARDIM NOVA AMERICA. 12242-580 São José dos Campos - SP.";(12) 39413610;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;Atividade Complementar;-23.1935742;-45.8968484
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CIRANDINHA ESCOLA INFANTIL;35179462;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"CALI, 36 RUA. JARDIM AMERICA. 12235-010 São José dos Campos - SP.";(12) 39312322;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;Atividade Complementar;-23.2310381;-45.8991408
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EDWARD BERTHOLINI INSTITUTO EDUCACIONAL;35187963;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"JOSE FRANCISCO ALVES, 149 RUA. VILA EMA. 12243-060 São José dos Campos - SP.";(12) 39213488;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil;Atividade Complementar;-23.2063418;-45.9019841
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;TIA LUCIA ESCOLA INFANTIL;35188001;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"NELSON SOMMIER MOLINA, 84 RUA. CONJUNTO RESIDENCIAL TRINTA E UM DE MARCO. 12237-730 São José dos Campos - SP.";(12) 39311736;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil;;-23.2481193;-45.9177819
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;DESPERTAR ESCOLA DE EDUCACAO INFANTIL E FUNDDAMENTAL;35188300;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"UBERABA, 69 JARDIM ISMENIA. 12220-740 São José dos Campos - SP.";(12) 39123921;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-23.1794805;-45.84915461
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;BLIM BLAM INSTITUTO RECREATIVO;35189145;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"BUCARESTE, 18 RUA. JARDIM OSWALDO CRUZ. 12216-740 São José dos Campos - SP.";(12) 39423063;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil;Atividade Complementar;-23.1984619;-45.8791244
ESCOLA ATENDE EXCLUSIVAMENTE ALUNOS COM DEFICIÊNCIA;BEM-TE-VI ESCOLA DE EDUCACAO ESPECIAL;35190792;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"PAULO SETUBAL, 263 RUA. JARDIM SAO DIMAS. 12245-460 São José dos Campos - SP.";(12) 39227492;Privada;Filantrópica;Sim;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;;-23.1930668045813;-45.8892640056952
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CELIO LEMOS CECOI;35194402;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"ANA GONCALVES DA CUNHA, 30 RUA. MONTE CASTELO. 12215-390 São José dos Campos - SP.";(12) 39216191;Privada;Comunitária;Sim;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-23.1885434;-45.8715868
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;GIRASSOL CRECHE;35194426;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"CHICO BUQUIRA, 1006 RUA. CONJUNTO RESIDENCIAL GALO BRANCO. 12247-550 São José dos Campos - SP.";(12) 39051952;Privada;Comunitária;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil;Atividade Complementar;-23.1359494;-45.7715442
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;BALAO MAGICO ESCOLA INFANTIL;35194451;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"IGUAPE, 330 AVENIDA. JARDIM SATELITE. 12230-720 São José dos Campos - SP.";(12) 39335697;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil;;-23.2350999;-45.8839386
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESFERA ESCOLA INTERNACIONAL;35194499;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"ANCHIETA, 908 AVENIDA. JARDIM NOVA AMERICA. 12242-280 São José dos Campos - SP.";(12) 33221255;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-23.1926709;-45.902841
ESCOLA PARALISADA;CAMPOS DE SAO JOSE II NEI;35194530;SP;São José dos Campos;Urbana;Não Informado;Pública;"RUA MARIA LANCINI, CAMPOS DE SAO JOSE. 12226-350 São José dos Campos - SP.";(12) 39122760;Municipal;Não Informado;Não;;;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;FUTURA GERACAO COLEGIO;35194578;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"BENEDITO MACHADO FIGUEIREDO, 21 RUA. URBANOVA. 12244-030 São José dos Campos - SP.";(12) 32044651;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-23.1906411;-45.932572
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;LIRIOS DO CAMPO II CECOI;35195704;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"EMILIO DE MENEZES, 238 RUA. MONTE CASTELO. 12215-020 São José dos Campos - SP.";(12) 39134361;Privada;Comunitária;Sim;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-23.1801049;-45.8729469
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;LADIEL BENEDITO DE CARVALHO PROF EMEI;35224662;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA ANA BENEDICTA DIAS PEDROSA, 75 RUA. PARQUE INTERLAGOS. 12229-829 São José dos Campos - SP.";(12) 39441828;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Educação Infantil;Atendimento Educacional Especializado;-23.2730822;-45.8644236
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ARMILINDA LOCATELLI DE MACEDO IMI;35225125;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"VITORIO CARNEVALLI, 176 RUA. VILA TESOURO. 12221-560 São José dos Campos - SP.";(12) 39295149;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-23.1702368;-45.8392646
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;BENEDITO CARVALHO DOS SANTOS IMI;35225137;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"SENADOR TEOTONIO VILELA, 900 VILA MARIA. 12209-510 São José dos Campos - SP.";(12) 39225253;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-23.1825219;-45.8778457
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;FLAVIO LENZI IMI;35225149;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"GAIVOTAS, 535 PRACA. VILA TATETUBA. 12220-220 São José dos Campos - SP.";(12) 39123027;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-23.1822043;-45.8496199
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;LUIZ SUNDFELD PROF EMEI;35225150;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"FELICIO JABBUR NASSER, 1035 RUA. CONJUNTO RESIDENCIAL GALO BRANCO. 12247-530 São José dos Campos - SP.";(12) 39052263;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-23.1367434375855;-45.7760393617346
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;MARIA DE LOURDES CONSTANTINO PROFA IMI;35225162;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"ELETRICISTAS, 330 RUA. PARQUE NOVO HORIZONTE. 12225-710 São José dos Campos - SP.";(12) 39072113;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-23.1952101;-45.7850549
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;MAROCA VENEZIANI IMI;35225174;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA ALZIRO LEBRAO, SN RUA. ALTO DA PONTE. 12212-500 São José dos Campos - SP.";(12) 39229937;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-23.1520191;-45.8989387
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;MARILDA FERREIRA DE BRITO BARROS PEREIRA IMI;35225186;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"MUSICOS, 140 PRACA. JARDIM VALPARAIBA. 12221-371 São José dos Campos - SP.";(12) 39298083;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-23.1748105;-45.8412953
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ANJELA MARIA DE SOUZA ALVES PROFA IMI;35225472;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"BENEDITO BENTO, 80 AVENIDA. CIDADE MORUMBI. 12236-580 São José dos Campos - SP.";(12) 39315466;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-23.2503376;-45.9073839
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;DIMEIA MARIA FERREIRA DINIZ ENDO PROFA IMI;35225484;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"NELSON JOSE DE CARVALHO FERREIRA, 91 RUA. CAMPO DOS ALEMAES. 12239-170 São José dos Campos - SP.";(12) 39661605;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-23.2691364;-45.8999699
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;JESUS DE NAZARE IMI;35225496;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"APA, 100 RUA. VILA SAO BENTO. 12231-580 São José dos Campos - SP.";(12) 39222319;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-23.2269719;-45.8755147
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;JOANA MATTAR DE OLIVEIRA IMI;35225502;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"JOSE COBRA, 95 RUA. CONJUNTO RESIDENCIAL TRINTA E UM DE MARCO. 12237-000 São José dos Campos - SP.";(12) 39319818;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-23.238746;-45.9098238
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;JOAO LOPES SIMOES IMI;35225514;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"ALEXANDRE MAGNO, 166 PRACA. JARDIM ORIENTE. 12236-190 São José dos Campos - SP.";(12) 39310194;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-23.2386209;-45.8995765
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;PEDRO DE ALCANTARA DOM IMI;35225551;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA JOSE BENEDITO CASTILHO, 100 RUA. CONJ HAB PAPA JOAO PAULO II. 12232-427 São José dos Campos - SP.";(12) 39662525;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-23.2804862;-45.8861383
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;DOSULINA CHENQUE CHAVES DE ANDRADE PROFA EMEF;35227900;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"PICO DAS AGULHAS NEGRAS, 1594 AVENIDA. JARDIM ALTOS DE SANTANA. 12214-000 São José dos Campos - SP.";(12) 39216448;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental;"Atendimento Educacional Especializado, Atividade Complementar";-23.1595685;-45.9155803
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;GERALDO DE ALMEIDA PROF EMEF;35227912;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"CAMOMILA, 100 RUA. CHACARAS POUSADA DO VALE. 12226-763 São José dos Campos - SP.";(12) 39294566;Municipal;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;Ensino Fundamental;"Atendimento Educacional Especializado, Atividade Complementar";-23.2221344;-45.7937904
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ARTUR APARECIDO DA ROSA EMEI;35233304;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"VICENTE DE PAULO SAO, SN AVENIDA. JARDIM SAO JUDAS TADEU. 12228-370 São José dos Campos - SP.";(12) 39441765;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-23.2557957;-45.8363752
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ALVARO GONCALVES PROF EMEF;35241982;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA ALBERTINA PEREIRA LIMA, 151 RUA. CAMPO DOS ALEMAES. 12239-740 São José dos Campos - SP.";(12) 39662298;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental;"Atendimento Educacional Especializado, Atividade Complementar";-23.2695295;-45.8913894
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ILDETE MENDONCA BARBOSA PROFA EMEF;35241994;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"MIGUEL JANSEN FILHO DOUTOR, 80 RUA. RESIDENCIAL UNIAO. 12239-024 São José dos Campos - SP.";(12) 39661688;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental;"Atendimento Educacional Especializado, Atividade Complementar";-23.2637358;-45.9054351
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;LUZIA LEVINA APARECIDA BORGES PROFA EMEF;35242007;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"HONORATO GONCALVES TEIXEIRA, 205 RUA. JARDIM CRUZEIRO DO SUL. 12234-813 São José dos Campos - SP.";(12) 39661569;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental;"Atendimento Educacional Especializado, Atividade Complementar";-23.2861194;-45.8905635
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EDUCARE CENTRO DE ENSINO;35250892;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"TEOPOMPO DE VASCONCELOS, 57 RUA. VILA ADYANA. 12243-830 São José dos Campos - SP.";(12) 39229360;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Ensino Médio, Educação Profissional";;-23.1975954165898;-45.8920685202311
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;TAS CENTRO EDUCACIONAL;35260770;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"AVENIDA FRANCISCO JOSE LONGO, 414 AVENIDA. JARDIM SAO DIMAS. 12245-000 São José dos Campos - SP.";(12) 39416781;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;Educação Profissional;;-23.196773;-45.8897815
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;HELIO AUGUSTO DE SOUZA CENTRO EDUC PROFISSIONAL CEPHAS;35263904;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA TSUNESSABURO MAKIGUTI, 399 RUA. FLORADAS DE SAO JOSE. 12230-084 São José dos Campos - SP.";(12) 39341135;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Educação Profissional;;-23.2220238447189;-45.886673508212
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;FUNDACAO R W JOHNSON;35264842;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"RODOVIA PRESIDENTE DUTRA, KM 154 RODOVIA. JARDIM DAS INDUSTRIAS. 12240-420 São José dos Campos - SP.";(12) 39324507;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Profissional;;-23.235329;-45.9185127
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO DE CAPACITACAO EM BELEZA E SAUDE CCB;35265494;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA RUBIAO JUNIOR, 84 3º ANDAR, SALA 86. CENTRO. 12210-180 São José dos Campos - SP.";(12) 974086197;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Profissional;;-23.1843889;-45.885845
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;PLANETARIO ESCOLA DE EDUCACAO INFANTIL;35269220;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"PASCOAL MOREIRA, 485 RUA. JARDIM NOVA AMERICA. 12242-670 São José dos Campos - SP.";(12) 39419076;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil;Atividade Complementar;-23.1957544;-45.8998008
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;PEDACINHO DO MUNDO ESCOLA INFANTIL;35269232;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"CIDADE DE QUITO, 294 RUA. CIDADE VISTA VERDE. 12223-650 São José dos Campos - SP.";(12) 39292244;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil;Atividade Complementar;-23.1781227;-45.8226482
ESCOLA PARALISADA;COLMEIA ESCOLA DE EDUCACAO INFANTIL;35269244;SP;São José dos Campos;Urbana;Não Informado;Privada;"CHICO BUQUIRA, 981 RUA. CONJUNTO RESIDENCIAL GALO BRANCO. 12247-550 São José dos Campos - SP.";(12) 39054503;Privada;Não Informado;Não;;;;;-23.1355646;-45.775899
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CATAVENTO COLEGIO;35269256;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"ANTONIO CAMPOS MELLO, 185 RUA. BOSQUE DOS EUCALIPTOS. 12233-040 São José dos Campos - SP.";(12) 39164413;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;Atividade Complementar;-23.2380824;-45.8827678
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;LUIZ LEITE PROF EMEF;35271287;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"BENEDITO ANDRADE, 5 RUA. CONJUNTO RESIDENCIAL GALO BRANCO. 12247-540 São José dos Campos - SP.";(12) 39052510;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental;"Atendimento Educacional Especializado, Atividade Complementar";-23.1316377;-45.7655945
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;RUTH NUNES DA TRINDADE PROFA EMEF;35271299;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"WALDEMAR TEIXEIRA, 900 RUA. JARDIM TORRAO DE OURO. 12229-010 São José dos Campos - SP.";(12) 39441030;Municipal;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;Ensino Fundamental;"Atendimento Educacional Especializado, Atividade Complementar";-23.2721845;-45.8632317
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;SONIA MARIA PEREIRA DA SILVA PROFA EMEF;35271305;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA DOS ALFAIATES, 321 RUA. PARQUE NOVO HORIZONTE. 12225-740 São José dos Campos - SP.";(12) 39074020;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental;"Atendimento Educacional Especializado, Atividade Complementar";-23.1981442;-45.7825163
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;MARIANA TEIXEIRA CORNELIO PROFA EMEF;35271457;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"BENEDITO PEREIRA LIMA, 200 RUA. JARDIM TELESPARK. 12212-700 São José dos Campos - SP.";(12) 39133600;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental;"Atendimento Educacional Especializado, Atividade Complementar";-23.1597774;-45.9095115
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ELIZABETE DE PAULA HONORATO PROFA EMEF;35281670;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"AURELIO PORTILHO CASTELLANOS, 124 RUA. JARDIM MARIANA I. 12226-854 São José dos Campos - SP.";(12) 39129467;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Educação de Jovens Adultos";"Atendimento Educacional Especializado, Atividade Complementar";-23.2132351;-45.8023775
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;SILVANA MARIA RIBEIRO DE ALMEIDA PROFA EMEF;35281682;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"QUATRO DE MARCO, 10 RUA. JARDIM DAS CEREJEIRAS. 12225-570 São José dos Campos - SP.";(12) 39077494;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental;"Atendimento Educacional Especializado, Atividade Complementar";-23.1945907;-45.7925253
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;NORMA DE CONTI SIMAO PROFA EMEF;35281694;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"JOAO ADAO, 349 RESIDENCIAL BOSQUE DOS IPES. 12236-811 São José dos Campos - SP.";(12) 39372828;Municipal;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;"Ensino Fundamental, Educação de Jovens Adultos";"Atendimento Educacional Especializado, Atividade Complementar";-23.2626516;-45.8977268
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;MERCEDES RACHID EDWARDS EMEF;35281700;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"ESTRADA MUNICIPAL VEREADOR PEDRO DAVID, 19251 PRACA. SAO FRANCISCO XAVIER. 12249-000 São José dos Campos - SP.";(12) 39261634;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental;"Atendimento Educacional Especializado, Atividade Complementar";-22.9101718;-45.9516852
ESCOLA PARALISADA;CENTRO DE RESSOCFEMININO DE SAO JOSE DOS CAMPOS;35287738;SP;São José dos Campos;Urbana;Não Informado;Pública;"TRAVESSA FRANCISCO ALMADA, CENTRO. 12245-681 São José dos Campos - SP.";(12) 39419532;Estadual;Não Informado;Não;;;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;INOVANDO O APRENDIZADO INSTITUTO DE DESENVOLVIME EDUC IDEIA;35290439;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"MARIA PALMIRA FERREIRA IVO, 15 RUA. BOSQUE DOS EUCALIPTOS. 12233-640 São José dos Campos - SP.";(12) 33075844;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Ensino Fundamental, Ensino Médio, Educação Profissional";;-23.24920236;-45.88690296
